id	name	industry_id	reviewer_id	strength	registration_number	start_normal_working_hours	end_normal_working_hours	start_saturday_working_hours	end_saturday_working_hours	website	company_logo_file_name	company_logo_content_type	company_logo_file_size	company_logo_updated_at	description	show_desc	job_postings_count	employers_count	published_job_postings_count	company_addresses_count	status	delta	created_at	updated_at	credit_terms	base_months	guarantee_period	alternate_saturdays	variable_rate	outsource_billing
1	Ribbet Interactive Pte. Ltd	43	3	3	201007039N	09:00:00	18:00:00	NULL	NULL	http://www.ribbetinteractive.com	ribbetinteractive.gif	image/gif	984	2010-05-26 10:03:36	Web Application Development and Customized Solution Implementation	0	2	2	0	1	active	0	2010-05-26 09:37:22	2011-10-13 01:37:14	30	13	30	0	0.12	0
2	Top Image Systems (Singapore) Pte. Ltd	43	4	17	199903326Z	09:00:00	18:00:00	NULL	NULL	http://www.tisapac.com	tisapac.gif	image/gif	2317	2010-05-27 16:52:47	Top Image Systems (Singapore) Pte Ltd provides End-To-End Automated Document Capture Solution. Their customers are mostly Financials and some government. They are also moving to work with Partners who are System Integrators to push their products.	0	3	2	0	1	active	0	2010-05-27 14:48:44	2011-02-24 02:00:48	30	13	30	0	0.12	0
3	Samsung SDS Asia Pacific Pte Ltd	43	3	80	200612002M	08:30:00	17:30:00	NULL	NULL	http://www.sds.samsung.com	samsung_sds.gif	image/gif	2236	2010-06-01 06:00:28	Samsung SDS’s business is organized according to the clients’ business environments and needs. It provides various ICT services such as business consulting, network system integration (NSI), smart infrastructure engineering (SIE), ICT outsourcing, business process outsourcing (BPO), ICT infra, and ICT solution.	0	2	1	0	1	active	0	2010-06-01 03:06:33	2010-06-03 07:22:41	30	13	30	0	0.12	0
4	TT Network Integration Asia Pte. Ltd.	43	3	95	200208943K	09:00:00	06:00:00	NULL	NULL	www.ttni.com.sg	ttni.gif	image/gif	3111	2010-06-03 08:29:49	Established on 1st November 2002, TT Network Integration Asia Pte Ltd (TTNI) is a joint venture of Toyota Tsusho Corporation (Japan), Toyota Digital Cruise Inc. (Japan) and Toyota Tsusho Singapore Pte Ltd (Singapore).\n\nTTNI provides network development and integrates systems for Toyota and her affliates.\n\nTTNI services include high quality advice and technical support throughout all network and system infrastructure as well as application development and support.	0	1	1	0	1	active	0	2010-06-03 07:20:37	2010-06-03 08:29:49	30	13	30	0	0.12	0
5	PulseSecure Pte Ltd	43	3	15	200801414W	09:00:00	18:00:00	NULL	NULL	www.pulsesecure.com	ps.gif	image/gif	1079	2010-06-10 11:28:59	PulseSecure is an IT security consulting company with unique breath of experience, knowledge and understanding in systems, networks, operations and applications security. We provide a wide range of security consulting services in diversified industry sectors.	0	1	1	0	1	active	0	2010-06-10 06:37:30	2010-06-10 11:28:59	30	13	30	0	0.12	0
6	kiretnazza	11	NULL	NULL	google	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	1	0	0	removed	0	2010-08-10 11:35:36	2010-08-10 14:16:33	30	13	30	0	0.12	0
7	Jobline Resources Pte Ltd	95	91	400	200307890N	09:00:00	18:00:00	NULL	NULL	www.jobline.com.sg	NULL	NULL	NULL	NULL		0	0	1	0	1	active	0	2010-12-10 06:09:25	2011-05-05 07:27:17	30	13	30	0	0.12	0
8	Wammeplay	11	NULL	NULL	google	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	1	0	0	new	0	2011-01-17 16:41:46	2011-01-17 16:41:46	30	13	30	0	0.12	0
9	Flok Pte Ltd	58	3	10	201017618D	09:00:00	17:30:00	NULL	NULL	www.flok.co	Flok.jpg	image/jpeg	5324	2011-03-10 03:14:13	A creative digital studio. We focus on social media marketing and applications, mobile applications and interactive installations. Based in Singapore with a new office recently opened in Sydney, Australia, Flok is expanding quickly and looking for awesome talent to join us.\n\nOur projects range from Global, APAC regional and local markets, for major B2C brands, products and services.	0	2	2	0	1	active	0	2011-03-07 09:37:07	2012-02-17 07:56:57	30	13	30	0	0.12	0
10	M+W Zander (S) Pte Ltd	20	3	NULL	199507493C	08:30:00	17:30:00	NULL	NULL	http://www.mwgroup.net	logo_mwgroup.gif	image/gif	1014	2011-03-10 07:32:04	M+W Group is a recognized global project partner for technology-based clients in the segments electronics, photovoltaics, life sciences, chemicals, science and research, energy, automotive, IT and telecoms, aerospace and defense.\n\nOur integrated business activities are focused on three sectors:\nFacility Solutions\nProcess Solutions \nProduct Solutions	0	4	1	0	1	active	0	2011-03-09 06:37:01	2012-02-17 08:09:50	30	13	30	0	0.12	0
11	Mitsubishi Corporation	107	3	100	S55FC1163C	09:00:00	17:45:00	NULL	NULL	http://www.mitsubishicorp.com/sg/en/	logo.jpg	image/jpeg	1575	2011-03-10 07:48:48	Singapore Branch is a branch office of Mitsubishi Corporation, a general trading company in Japan. Our business fields cover the five business departments of Energy, Machinery/Metal/Global Environment Business Development, Industrial Finance, Logistics & Development, Chemicals and Living Essentials.\nLike the nine other Mitsubishi Corporation subsidiaries with offices in Singapore, we concentrate on the development of businesses in the domestic market of Singapore and in the region surrounding Singapore. Although generally classified as a trading company, our operation extends beyond this classification to include activities in manufacturing, logistics, retailing, financing and many others.	0	1	1	0	1	active	0	2011-03-10 07:46:11	2011-03-10 15:48:21	30	13	30	0	0.12	0
12	Strategic Data Governance	43	3	8	T10LL1139D	09:00:00	18:00:00	NULL	NULL	http://www.strategicdatagovernance.com	NULL	NULL	NULL	NULL	Providing management consultancy. They specialise in:\n\nData Evaluation\nDataTransformation\nData Migration\nData Archiving\nData Governance Consultancy	0	2	1	0	1	active	0	2011-04-27 06:28:59	2011-07-25 07:34:40	30	13	30	0	0.12	0
13	Lanxess Pte Ltd	12	3	150	200405025N	08:30:00	05:30:00	NULL	NULL	http://lanxess.sg/en/about-lanxess-singapore/	NULL	NULL	NULL	NULL	Lanxess is a leading specialty chemicals company with sales of EUR 7.1 billion in 2010. Headquarter in Leverkusen, Germany. Lanxess is listed on Frankfurt Stock Exchange and has around 14,850 employees in 24 countries. Lanxess has 45 production sites worldwide and our core business is the development , manufacturing and marketing of plastics, rubber, intermediates and specialty chemicals. \n\nLanxess is growing in Singapore with an investment of EUR 400 million, we will build a butyl rubber plant on Jurong Island. The 100,000 tons per annum plant will be the largest of its type in Asia. The company held the groundbreaking ceremony in May 2010, and production is expected to start in the first quarter of 2013. \n\nIn all its activities around the world, the Group subscribes to the principle of sustainable development; Sustainability is the basis of every action at Lanxess, and we consider environmental compatibility and social responsibility to be of equal importance.	0	2	1	0	0	active	0	2011-05-05 09:05:56	2011-05-05 09:31:52	30	13	30	0	0.12	0
14	SIIX Singapore Pte Ltd	107	3	50	197400730G	08:50:00	17:30:00	NULL	NULL	http://www.siix.co.jp/	NULL	NULL	NULL	NULL	SIIX Singapore Pte Ltd is a Japanese MNC specialised in trading of electronics products and provider of electronics manufacturing services.	0	1	1	0	1	active	0	2011-05-10 01:41:58	2011-05-10 01:51:08	30	13	30	0	0.12	0
15	Robinsons Group of Companies	89	3	900		09:00:00	18:00:00	NULL	NULL	http://www.robinsons.com.sg	NULL	NULL	NULL	NULL	The Robinsons Group of stores is a successful & established group of departmental stores since 1840.	0	2	1	0	0	active	0	2011-05-11 03:07:57	2011-05-11 05:57:16	30	13	30	0	0.12	0
16	“K” Line (Singapore) Pte Ltd	109	3	80	197302448M	08:30:00	17:30:00	NULL	NULL	http://www.kline.com.sg/	NULL	NULL	NULL	NULL		0	2	1	0	1	active	0	2011-05-13 09:28:54	2011-07-26 08:41:46	30	13	30	0	0.12	0
17	Hitachi Cable (Singapore) Pte Ltd	108	3	300	197401241N	08:00:00	17:30:00	NULL	NULL	http://www.hitachicable.com.sg/	NULL	NULL	NULL	NULL	A pioneer and global leader in electrical wire, cable and lead frame manufacturing.	0	2	1	0	0	active	0	2011-05-23 01:41:47	2011-05-26 06:04:37	30	13	30	0	0.12	0
18	iFAST Financial Pte Ltd	28	3	90	200000231R	09:00:00	18:00:00	NULL	NULL	http://www.ifastnetwork.com	NULL	NULL	NULL	NULL	Our client is is Singapore's premier financial adviser platform, providing support to various financial institutions and financial advisory firms.	0	1	1	0	1	active	0	2011-05-27 06:53:45	2011-07-28 08:08:18	30	13	30	0	0.12	0
19	Maloft Pte Ltd	43	3	7	201023906E	09:00:00	18:00:00	NULL	NULL	www.maloft.com	NULL	NULL	NULL	NULL	Software Development / Optimisation	0	1	2	0	1	active	0	2011-06-02 13:58:23	2012-02-17 08:02:38	30	13	30	0	0.12	0
20	Avnet Technology Solutions (Singapore) Pte Ltd	43	3	135	199700062G	09:00:00	18:00:00	NULL	NULL	http://www.avnet.com	NULL	NULL	NULL	NULL		0	2	1	0	0	active	0	2011-06-07 09:50:33	2011-10-19 04:30:26	30	13	30	0	0.12	0
21	Keppel FELS Limited	71	3	4200	196700147N	07:30:00	16:30:00	NULL	NULL	http://www.keppelfels.com.sg	NULL	NULL	NULL	NULL	Oil & Gas	0	1	1	0	0	active	0	2011-06-09 03:07:41	2011-06-09 06:54:19	30	13	30	0	0.12	0
22	DFS Venture Singapore (Pte) Limited	89	3	280		09:00:00	17:45:00	NULL	NULL		NULL	NULL	NULL	NULL		0	1	1	0	0	active	0	2011-06-10 03:29:46	2011-06-10 03:34:33	30	13	30	0	0.12	0
23	NCS Pte Ltd	43	3	7000	198101793G	08:30:00	18:00:00	NULL	NULL	www.ncs.com.sg	NULL	NULL	NULL	NULL		0	1	1	0	1	active	0	2011-06-13 14:05:50	2012-06-12 07:56:53	30	13	30	0	0.12	0
24	Wincor Nixdorf Pte Ltd	NULL	3	2000	198203384D	08:30:00	17:45:00	NULL	NULL	http://www.wincor-nixdorf.com	NULL	NULL	NULL	NULL	Nature of business : Manufacturing (3 divison - banking products, retail (POS) and service (ATM and the power system))\n\nWincor Nixdorf is one of the leading providers of IT solutions and products for the retail and banking sectors, and also provides solution-related services. \n\nHeadquartered in Paderborn, Germany, Wincor Nixdorf offers IT-based products to the retail and retail banking industries. Our focus is on complete offerings to produce lower process costs and support the corresponding changes inside customer organizations. We have a workforce of approx. 4,900 in over 70 countries worldwide with revenues of Euro 1.44 billion.	0	1	1	0	0	active	0	2011-06-18 07:54:52	2011-06-18 08:02:25	30	13	30	0	0.12	0
25	MTV Asia LDC	61	3	150		09:00:00	18:00:00	NULL	NULL	www.mtvasia.com	NULL	NULL	NULL	NULL	A US MNC firm in the Media and Broadcasting Industry	0	1	1	0	0	active	0	2011-06-27 14:03:30	2011-08-19 02:16:23	30	13	30	0	0.12	0
26	Hunting Energy Services Pte Ltd	108	3	100	198004554D	08:00:00	17:30:00	NULL	NULL	www.hunting.plc.uk	NULL	NULL	NULL	NULL	Manufacturing of Threading of pipes for oil & gas industry	0	2	1	0	1	active	0	2011-06-29 10:29:13	2011-08-19 03:49:09	30	13	30	0	0.12	0
27	Teledata (Singapore) Limited	NULL	3	240	197600922M	08:30:00	18:00:00	NULL	NULL	www.teledata.com.sg	NULL	NULL	NULL	NULL	Enterprise Communication. Staff Strength (in Singapore) = 40, Staff Strength (All Regions) = 200, HQ is Singapore.	0	1	1	0	0	active	0	2011-06-30 07:39:00	2011-08-03 06:32:57	30	13	30	0	0.12	0
28	CSC Automated Pte Ltd	43	3	200	197201159M	08:30:00	17:30:00	NULL	NULL	http://www.csc.com/	NULL	NULL	NULL	NULL	Our Client is a global leader in providing technology enabled business solutions and services.	0	1	1	0	0	active	0	2011-07-11 06:55:49	2011-08-04 03:56:35	30	13	30	0	0.12	0
29	Lim & Tan Securities Pte Ltd	28	3	100	197301030W	08:30:00	17:45:00	NULL	NULL	http://www.limtan.com.sg/	NULL	NULL	NULL	NULL	Shares and Stock Broking firm	0	1	1	0	1	active	0	2011-07-15 07:33:06	2011-08-02 02:45:42	30	13	30	0	0.12	0
30	UBM Medica Asia Pte Ltd	NULL	3	70	197902852Z	08:30:00	17:30:00	NULL	NULL	http://www.ubmmedica.com/	NULL	NULL	NULL	NULL	Our client specializes in healthcare communication and has a reputation for the quality and innovation of its products and services. Its business expertise is in healthcare education and information, focusing on media for both healthcare professionals and consumers.	0	1	1	0	0	active	0	2011-07-18 09:33:47	2011-07-29 08:58:05	30	13	30	0	0.12	0
31	Gucci Singapore Pte Ltd	89	3	200	52924667L	09:00:00	18:00:00	NULL	NULL	www.gucci.com	NULL	NULL	NULL	NULL	Retail	0	1	1	0	0	active	0	2011-07-20 03:10:35	2011-08-19 02:18:27	30	13	30	0	0.12	0
32	Science and Engineering Institutes	NULL	3	NULL		08:30:00	18:00:00	NULL	NULL	http://www.a-star.edu.sg	NULL	NULL	NULL	NULL	Our client is Singapore’s lead government agency dedicated to fostering world-class scientific research and talent for a vibrant knowledge-based economy.	0	2	1	0	0	active	0	2011-08-07 01:48:07	2011-09-27 02:24:54	30	13	30	0	0.12	0
33	iBiz Consulting	43	3	15	12345678	14:00:00	14:00:00	NULL	NULL	http://www.jobline.com.sg	NULL	NULL	NULL	NULL	Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.	0	2	2	0	0	active	0	2011-09-01 06:19:45	2011-10-19 01:46:15	30	13	30	0	0.12	0
34	iBiz	19	3	NULL	123456789	16:00:00	16:00:00	NULL	NULL		NULL	NULL	NULL	NULL		0	0	1	0	0	reviewed	0	2011-09-16 07:38:54	2011-10-12 08:14:07	30	13	30	0	0.12	0
35	123 Go	22	1	NULL	123456789	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	3	1	0	0	active	0	2011-10-12 08:09:29	2012-04-17 10:53:18	30	13	30	0	0.12	0
